T1,T2,T3,T4
104.8191,0.0,964.2,5.1
103.6979,0.0,964.2,5.1
104.6446,1.1754939999999999e-38,964.6,7.1
104.3136,1.1754939999999999e-38,964.6,7.1
104.5342,1.1754939999999999e-38,964.6,7.1
104.2556,1.1754939999999999e-38,964.6,7.1
105.0092,1.1754939999999999e-38,964.6,7.1
103.6108,1.1754939999999999e-38,964.6,7.1
100.5637,1.1754939999999999e-38,964.6,7.1
101.2609,1.1754939999999999e-38,964.6,7.1
101.416,1.1754939999999999e-38,964.6,7.1
100.9166,1.1754939999999999e-38,964.6,7.1
101.3843,1.1754939999999999e-38,964.7,6.8
100.6692,1.1754939999999999e-38,964.7,6.8
100.2138,1.1754939999999999e-38,964.7,6.8
100.9705,1.1754939999999999e-38,964.7,6.8
100.6588,1.1754939999999999e-38,964.7,6.8
99.7812,1.1754939999999999e-38,964.7,6.8
100.2613,1.1754939999999999e-38,964.7,6.8
100.5337,1.1754939999999999e-38,964.7,6.8
100.9503,1.1754939999999999e-38,964.7,6.8
99.8073,1.1754939999999999e-38,964.7,6.8
99.58791,1.1754939999999999e-38,964.7,7.3
98.25439,1.1754939999999999e-38,964.7,7.3
98.4087,1.1754939999999999e-38,964.7,7.3
96.7421,1.1754939999999999e-38,964.7,7.3
96.0934,1.1754939999999999e-38,964.7,7.3
96.6408,1.1754939999999999e-38,964.7,7.3
95.8205,1.1754939999999999e-38,964.7,7.3
96.4603,1.1754939999999999e-38,964.7,7.3
96.877,1.1754939999999999e-38,964.7,7.3
98.3695,1.1754939999999999e-38,964.7,7.3
98.6925,1.1754939999999999e-38,964.7,7.3
100.9085,1.1754939999999999e-38,964.7,7.3
101.2426,1.1754939999999999e-38,964.7,7.3
101.4594,1.1754939999999999e-38,964.7,7.3
99.8719,1.1754939999999999e-38,964.7,7.3
100.1763,1.1754939999999999e-38,964.7,7.3
99.23911,1.1754939999999999e-38,964.7,7.3
99.19241,1.1754939999999999e-38,964.7,7.3
99.1618,1.1754939999999999e-38,964.7,7.3
98.9724,1.1754939999999999e-38,964.7,7.3
