T1,T2,T3,T4
96.3869,1.1754939999999999e-38,1.1754939999999999e-38,1.1754939999999999e-38
95.6826,1.1754939999999999e-38,1.1754939999999999e-38,1.1754939999999999e-38
97.17039,1.1754939999999999e-38,1.1754939999999999e-38,1.1754939999999999e-38
97.4165,1.1754939999999999e-38,1.1754939999999999e-38,1.1754939999999999e-38
97.3928,1.1754939999999999e-38,1.1754939999999999e-38,1.1754939999999999e-38
99.0555,1.1754939999999999e-38,1.1754939999999999e-38,1.1754939999999999e-38
97.5046,1.1754939999999999e-38,1.1754939999999999e-38,1.1754939999999999e-38
97.526,1.1754939999999999e-38,1.1754939999999999e-38,1.1754939999999999e-38
98.3725,1.1754939999999999e-38,1.1754939999999999e-38,1.1754939999999999e-38
100.3735,1.1754939999999999e-38,1.1754939999999999e-38,1.1754939999999999e-38
100.1918,56.0,957.7,12.6
100.2664,56.0,957.7,12.6
99.77299,56.0,957.7,12.6
100.5358,56.0,957.7,12.6
100.0797,56.0,957.7,12.6
99.80099,56.0,957.7,12.6
99.3001,56.0,957.7,12.6
98.8432,56.0,957.7,12.6
97.4608,56.0,957.7,12.6
96.896,56.0,957.7,12.6
96.348,54.0,957.6,12.4
96.0354,54.0,957.6,12.4
97.74541,54.0,957.6,12.4
98.4692,54.0,957.6,12.4
100.05,54.0,957.6,12.4
100.4971,54.0,957.6,12.4
99.6525,54.0,957.6,12.4
99.1539,54.0,957.6,12.4
97.9633,54.0,957.6,12.4
98.09579,54.0,957.6,12.4
97.1736,57.0,957.6,12.6
97.3606,57.0,957.6,12.6
97.2566,57.0,957.6,12.6
97.8756,57.0,957.6,12.6
99.2466,57.0,957.6,12.6
98.3444,57.0,957.6,12.6
99.1592,57.0,957.6,12.6
98.2773,57.0,957.6,12.6
99.0556,57.0,957.6,12.6
96.7602,57.0,957.6,12.6
98.2656,58.0,957.6,12.3
97.0927,58.0,957.6,12.3
97.392,58.0,957.6,12.3
96.9489,58.0,957.6,12.3
100.293,58.0,957.6,12.3
99.1303,58.0,957.6,12.3
98.4604,58.0,957.6,12.3
98.8931,58.0,957.6,12.3
98.0937,58.0,957.6,12.3
96.9357,58.0,957.6,12.3
95.652,57.0,957.4,12.4
95.8851,57.0,957.4,12.4
97.6239,57.0,957.4,12.4
95.8988,57.0,957.4,12.4
97.4117,57.0,957.4,12.4
98.731,57.0,957.4,12.4
96.6793,57.0,957.4,12.4
96.6096,57.0,957.4,12.4
97.6298,57.0,957.4,12.4
97.36459,57.0,957.4,12.4
99.0262,57.0,957.4,12.3
100.1429,57.0,957.4,12.3
101.0987,57.0,957.4,12.3
100.6404,57.0,957.4,12.3
98.3022,57.0,957.4,12.3
97.0397,57.0,957.4,12.3
97.53,57.0,957.4,12.3
97.265,57.0,957.4,12.3
97.0669,57.0,957.4,12.3
98.205,57.0,957.4,12.3
