T1,T2,T3,T4
92.8536,80.0,953.5,4.1
91.8084,80.0,953.5,4.1
93.3221,80.0,953.5,4.1
91.7464,80.0,953.5,4.1
93.4146,80.0,953.5,4.1
96.6092,80.0,953.5,4.1
96.2741,80.0,953.5,4.1
96.2696,80.0,953.5,4.1
96.021,80.0,953.5,4.1
96.3468,80.0,953.5,4.1
96.4279,81.0,953.5,4.2
96.5498,81.0,953.5,4.2
97.4804,81.0,953.5,4.2
95.219,81.0,953.5,4.2
94.3046,81.0,953.5,4.2
95.1372,81.0,953.5,4.2
96.1069,81.0,953.5,4.2
95.923,81.0,953.5,4.2
96.9499,81.0,953.5,4.2
98.7833,81.0,953.5,4.2
100.112,80.0,953.3,4.8
99.07961,80.0,953.3,4.8
98.8685,80.0,953.3,4.8
97.947,80.0,953.3,4.8
99.4833,80.0,953.3,4.8
97.8572,80.0,953.3,4.8
97.9067,80.0,953.3,4.8
97.6336,80.0,953.3,4.8
98.5037,80.0,953.3,4.8
98.3754,80.0,953.3,4.8
99.039,79.0,953.4,5.1
98.9056,79.0,953.4,5.1
97.6579,79.0,953.4,5.1
95.6839,79.0,953.4,5.1
96.5341,79.0,953.4,5.1
97.4546,79.0,953.4,5.1
98.0482,79.0,953.4,5.1
97.0224,79.0,953.4,5.1
98.2621,79.0,953.4,5.1
96.3586,79.0,953.4,5.1
96.2975,79.0,953.5,4.9
97.5034,79.0,953.5,4.9
96.23161,79.0,953.5,4.9
94.67741,79.0,953.5,4.9
97.2319,79.0,953.5,4.9
97.4471,79.0,953.5,4.9
96.8917,79.0,953.5,4.9
96.2887,79.0,953.5,4.9
98.1817,79.0,953.5,4.9
98.8579,79.0,953.5,4.9
97.0149,78.0,953.6,5.1
95.9841,78.0,953.6,5.1
95.2582,78.0,953.6,5.1
96.7063,78.0,953.6,5.1
96.06889,78.0,953.6,5.1
95.8434,78.0,953.6,5.1
96.589,78.0,953.6,5.1
96.2261,78.0,953.6,5.1
95.7063,78.0,953.6,5.1
94.492,78.0,953.6,5.1
94.4102,78.0,953.6,4.8
94.8163,78.0,953.6,4.8
94.9914,78.0,953.6,4.8
93.5954,78.0,953.6,4.8
93.1503,78.0,953.6,4.8
91.7338,78.0,953.6,4.8
91.8064,78.0,953.6,4.8
92.4095,78.0,953.6,4.8
92.5998,78.0,953.6,4.8
92.7943,78.0,953.6,4.8
93.5093,82.0,953.6,4.7
91.586,82.0,953.6,4.7
92.067,82.0,953.6,4.7
91.407,82.0,953.6,4.7
93.4261,82.0,953.6,4.7
94.9509,82.0,953.6,4.7
96.092,82.0,953.6,4.7
97.2333,82.0,953.6,4.7
99.9192,82.0,953.6,4.7
100.3917,82.0,953.6,4.7
98.9651,84.0,953.6,4.8
96.8431,84.0,953.6,4.8
98.47729,84.0,953.6,4.8
100.0743,84.0,953.6,4.8
102.3247,84.0,953.6,4.8
101.4899,84.0,953.6,4.8
101.0161,84.0,953.6,4.8
101.2778,84.0,953.6,4.8
102.3779,84.0,953.6,4.8
101.3544,84.0,953.6,4.8
101.8968,80.0,953.6,5.2
100.8179,80.0,953.6,5.2
100.4677,80.0,953.6,5.2
98.2917,80.0,953.6,5.2
97.7072,80.0,953.6,5.2
97.87099,80.0,953.6,5.2
100.1465,80.0,953.6,5.2
98.7569,80.0,953.6,5.2
99.4644,80.0,953.6,5.2
97.8446,80.0,953.6,5.2
96.9438,78.0,953.6,5.3
95.9297,78.0,953.6,5.3
95.8966,78.0,953.6,5.3
97.0001,78.0,953.6,5.3
96.2169,78.0,953.6,5.3
95.7122,78.0,953.6,5.3
95.9465,78.0,953.6,5.3
95.2386,78.0,953.6,5.3
97.0682,78.0,953.6,5.3
98.7686,78.0,953.6,5.3
97.5397,73.0,953.6,5.1
99.6795,73.0,953.6,5.1
100.1032,73.0,953.6,5.1
100.6375,73.0,953.6,5.1
100.6214,73.0,953.6,5.1
98.7571,73.0,953.6,5.1
98.5131,73.0,953.6,5.1
97.0155,73.0,953.6,5.1
93.718,73.0,953.6,5.1
94.5185,73.0,953.6,5.1
95.28529,74.0,953.7,5.1
95.1785,74.0,953.7,5.1
94.181,74.0,953.7,5.1
94.31281,74.0,953.7,5.1
94.97781,74.0,953.7,5.1
96.16,74.0,953.7,5.1
96.1741,74.0,953.7,5.1
97.3051,74.0,953.7,5.1
97.57159,74.0,953.7,5.1
98.8086,74.0,953.7,5.1
97.2454,76.0,953.8,5.1
97.9398,76.0,953.8,5.1
99.6157,76.0,953.8,5.1
100.1834,76.0,953.8,5.1
99.6648,76.0,953.8,5.1
99.5267,76.0,953.8,5.1
98.6411,76.0,953.8,5.1
99.3128,76.0,953.8,5.1
98.6951,76.0,953.8,5.1
96.8768,76.0,953.8,5.1
97.8302,78.0,953.7,5.4
98.87109,78.0,953.7,5.4
99.5813,78.0,953.7,5.4
101.1573,78.0,953.7,5.4
99.1178,78.0,953.7,5.4
100.1281,78.0,953.7,5.4
100.0053,78.0,953.7,5.4
99.3473,78.0,953.7,5.4
99.1712,78.0,953.7,5.4
101.2419,78.0,953.7,5.4
98.3174,78.0,953.8,5.1
97.7617,78.0,953.8,5.1
97.5145,78.0,953.8,5.1
96.243,78.0,953.8,5.1
96.4407,78.0,953.8,5.1
97.4847,78.0,953.8,5.1
96.8304,78.0,953.8,5.1
97.1333,78.0,953.8,5.1
97.2818,78.0,953.8,5.1
97.1726,78.0,953.8,5.1
97.2859,89.0,954.1,2.8
98.0978,89.0,954.1,2.8
98.5991,89.0,954.1,2.8
97.4818,89.0,954.1,2.8
96.61,89.0,954.1,2.8
94.9931,89.0,954.1,2.8
95.6405,89.0,954.1,2.8
96.73351,89.0,954.1,2.8
97.4539,89.0,954.1,2.8
96.1955,89.0,954.1,2.8
97.7579,95.0,954.1,3.4
97.84019,95.0,954.1,3.4
97.8976,95.0,954.1,3.4
97.89861,95.0,954.1,3.4
97.4549,95.0,954.1,3.4
97.051,95.0,954.1,3.4
96.5057,95.0,954.1,3.4
100.5126,95.0,954.1,3.4
102.2704,95.0,954.1,3.4
101.7719,95.0,954.1,3.4
101.4247,94.0,954.1,3.7
99.1825,94.0,954.1,3.7
98.7339,94.0,954.1,3.7
96.74371,94.0,954.1,3.7
98.6857,94.0,954.1,3.7
98.8941,94.0,954.1,3.7
98.2977,94.0,954.1,3.7
99.5702,94.0,954.1,3.7
101.7009,94.0,954.1,3.7
100.9785,94.0,954.1,3.7
100.9113,95.0,954.3,3.7
101.775,95.0,954.3,3.7
98.793,95.0,954.3,3.7
98.1732,95.0,954.3,3.7
98.6264,95.0,954.3,3.7
96.6206,95.0,954.3,3.7
95.6529,95.0,954.3,3.7
94.4567,95.0,954.3,3.7
95.9024,95.0,954.3,3.7
98.3273,95.0,954.3,3.7
98.4284,93.0,954.2,3.6
96.9328,93.0,954.2,3.6
96.53239,93.0,954.2,3.6
97.3201,93.0,954.2,3.6
96.81499,93.0,954.2,3.6
97.0488,93.0,954.2,3.6
97.6422,93.0,954.2,3.6
98.5862,93.0,954.2,3.6
98.9185,93.0,954.2,3.6
98.03059,93.0,954.2,3.6
97.69839,94.0,954.3,3.3
97.8715,94.0,954.3,3.3
97.05051,94.0,954.3,3.3
97.3471,94.0,954.3,3.3
95.7857,94.0,954.3,3.3
97.9322,94.0,954.3,3.3
100.6119,94.0,954.3,3.3
100.5043,94.0,954.3,3.3
98.6544,94.0,954.3,3.3
97.5043,94.0,954.3,3.3
95.8283,95.0,954.4,3.4
95.5725,95.0,954.4,3.4
95.2271,95.0,954.4,3.4
95.3156,95.0,954.4,3.4
92.4258,95.0,954.4,3.4
96.2187,95.0,954.4,3.4
94.9093,95.0,954.4,3.4
96.2169,95.0,954.4,3.4
95.9117,95.0,954.4,3.4
98.23051,95.0,954.4,3.4
98.1111,94.0,954.5,3.6
98.6418,94.0,954.5,3.6
98.006,94.0,954.5,3.6
98.62189,94.0,954.5,3.6
97.0911,94.0,954.5,3.6
97.1433,94.0,954.5,3.6
97.2241,94.0,954.5,3.6
98.0648,94.0,954.5,3.6
99.9094,94.0,954.5,3.6
99.6431,94.0,954.5,3.6
97.7751,94.0,954.7,3.6
98.0186,94.0,954.7,3.6
96.06371,94.0,954.7,3.6
97.6431,94.0,954.7,3.6
97.2337,94.0,954.7,3.6
97.6407,94.0,954.7,3.6
98.9533,94.0,954.7,3.6
99.53419,94.0,954.7,3.6
98.4902,94.0,954.7,3.6
97.2295,94.0,954.7,3.6
95.2337,93.0,954.8,3.6
94.6511,93.0,954.8,3.6
96.1241,93.0,954.8,3.6
96.462,93.0,954.8,3.6
99.3917,93.0,954.8,3.6
99.2568,93.0,954.8,3.6
97.7267,93.0,954.8,3.6
97.5199,93.0,954.8,3.6
97.8829,93.0,954.8,3.6
98.4292,93.0,954.8,3.6
97.564,93.0,955.0,3.7
96.7856,93.0,955.0,3.7
95.455,93.0,955.0,3.7
94.325,93.0,955.0,3.7
96.0214,93.0,955.0,3.7
96.4024,93.0,955.0,3.7
94.73911,93.0,955.0,3.7
92.5599,93.0,955.0,3.7
93.2787,93.0,955.0,3.7
92.7963,93.0,955.0,3.7
94.5461,91.0,955.2,3.8
94.6041,91.0,955.2,3.8
95.7165,91.0,955.2,3.8
94.6529,91.0,955.2,3.8
94.78999,91.0,955.2,3.8
96.6212,91.0,955.2,3.8
96.6653,91.0,955.2,3.8
95.1263,91.0,955.2,3.8
94.4614,91.0,955.2,3.8
